Stname,STCODE,CTYCODE,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,CENSUS2010POP
Alaska,2,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2369
Alaska,2,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662
Alaska,2,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17895490336435219,0,5588
Alaska,2,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013982493917615146,0,0,0,0,0,71518
Arizona,4,3,0,0,0,0,0,0,0,0,0,0,0.00761347890304996,0,0.01522695780609992,0,0.01522695780609992,0.00761347890304996,0,0,0,131346
Arizona,4,5,0,0,0,0,0,0,0.007439313797695301,0.014878627595390602,0,0,0,0,0.007439313797695301,0.007439313797695301,0.007439313797695301,0,0.007439313797695301,0.0223179413930859,0.014878627595390602,134421
Arizona,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05597328208668396,0.01865776069556132,0,0.01865776069556132,0,53597
Arizona,4,9,0,0,0,0.026867275658248254,0,0,0,0,0,0,0,0,0,0,0.026867275658248254,0,0,0,0,37220
Arizona,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437
Arizona,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048806676753379866,0,0,0,0,0,20489
Arizona,4,13,2.619778225294116e-4,5.239556450588232e-4,7.859334675882348e-4,2.619778225294116e-4,0.002619778225294116,0.0018338447577058812,0.0015718669351764696,0,0.0020958225802352928,7.859334675882348e-4,0,0.0018338447577058812,7.859334675882348e-4,0.0041916451604705855,0.002619778225294116,5.239556450588232e-4,0.001309889112647058,0.0036676895154117623,2.619778225294116e-4,3817117
Arizona,4,15,0,0.004995354320481951,0,0,0,0,0,0,0,0,0,0,0.004995354320481951,0.004995354320481951,0.004995354320481951,0.004995354320481951,0.004995354320481951,0.014986062961445855,0.004995354320481951,200186
Arizona,4,17,0,0,0,0,0,0,0,0,0,0,0.009306740872413889,0,0.009306740872413889,0.018613481744827777,0,0,0,0,0,107449
Arizona,4,19,0,0,0.0010201343925048685,0.0010201343925048685,0.002040268785009737,0.003060403177514606,0.002040268785009737,0,0,0.004080537570019474,0,0.004080537570019474,0.003060403177514606,0.00714094074753408,0.0010201343925048685,0.00714094074753408,0.003060403177514606,0.003060403177514606,0.0010201343925048685,980263
Arizona,4,21,0.002661202331213242,0,0,0,0.002661202331213242,0,0.002661202331213242,0,0,0,0,0.002661202331213242,0,0.002661202331213242,0.002661202331213242,0,0.002661202331213242,0.002661202331213242,0,375770
Arizona,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04217629692113033,0.021088148460565163,0,0,0,0,47420
Arizona,4,25,0,0,0,0.004738595385555813,0,0,0,0,0,0,0,0.01421578615666744,0.009477190771111626,0,0,0,0.009477190771111626,0.004738595385555813,0.004738595385555813,211033
Arizona,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010217061470950339,0.0051085307354751695,195751
Arizona,4,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19019
Arkansas,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21853
Arkansas,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41513
Arkansas,5,7,0.004517956618580549,0,0.004517956618580549,0,0,0,0,0.004517956618580549,0,0,0,0,0,0,0,0,0,0,0,221339
Arkansas,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36903
Arkansas,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11508
Arkansas,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5368
Arkansas,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27446
Arkansas,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11800
Arkansas,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22995
Arkansas,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16083
Arkansas,5,23,0,0.038505968425105896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25970
Arkansas,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8689
Arkansas,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24552
Arkansas,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21273
Arkansas,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96443
Arkansas,5,33,0,0.032285142377477885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61948
Arkansas,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50902
Arkansas,5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17870
Arkansas,5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12321340561853131,8116
Arkansas,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13008
Arkansas,5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18509
Arkansas,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113237
Arkansas,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18125
Arkansas,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12245
Arkansas,5,51,0.020828126301757892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010414063150878946,96024
Arkansas,5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17853
Arkansas,5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42090
Arkansas,5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22609
Arkansas,5,59,0,0,0.030373902742763418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32923
Arkansas,5,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13789
Arkansas,5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02728736322209185,36647
Arkansas,5,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13696
Arkansas,5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17997
Arkansas,5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77435
Arkansas,5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25540
Arkansas,5,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7645
Arkansas,5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17415
Arkansas,5,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10424
Arkansas,5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14134
Arkansas,5,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13171
Arkansas,5,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22353
Arkansas,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014629293697700274,0,68356
Arkansas,5,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15717
Arkansas,5,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16653
Arkansas,5,91,0.02300860521835166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43462
Arkansas,5,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46480
Arkansas,5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8149
Arkansas,5,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9487
Arkansas,5,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8997
Arkansas,5,101,0.12004801920768308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8330
Arkansas,5,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26120
Arkansas,5,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10445
Arkansas,5,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21757
Arkansas,5,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11291
Arkansas,5,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24583
Arkansas,5,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20662
Arkansas,5,115,0,0.016193283026200732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016193283026200732,61754
Arkansas,5,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11474469305794607,0,8715
Arkansas,5,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002612685108739954,0,382748
Arkansas,5,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17969
Arkansas,5,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28258
Arkansas,5,125,0.009335499169140574,0,0.009335499169140574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107118
Arkansas,5,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11233
Arkansas,5,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8195
Arkansas,5,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125744
Arkansas,5,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17058
Arkansas,5,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17264
Arkansas,5,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12394
Arkansas,5,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41639
Arkansas,5,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17295
Arkansas,5,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009849063107871864,0.009849063107871864,0,203065
Arkansas,5,145,0.012974207275935441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77076
Arkansas,5,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7260
Arkansas,5,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22185
Arkansas,5,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California,6,1,0.002648531290079727,0.0019863984675597955,0.0046349297576395235,0.0013242656450398636,0,0.0033106641125996593,0.0019863984675597955,0.0019863984675597955,0.003972796935119591,0.0019863984675597955,0.0019863984675597955,0.0013242656450398636,0.002648531290079727,0,6.621328225199318e-4,0.005297062580159454,0.007945593870239182,0.008607726692759115,0.0013242656450398636,1510271
California,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175
California,6,5,0,0.026252920637420914,0,0,0,0,0.026252920637420914,0.05250584127484183,0,0,0.026252920637420914,0,0,0.026252920637420914,0,0.05250584127484183,0,0,0,38091
California,6,7,0.013636363636363636,0.004545454545454545,0.013636363636363636,0.00909090909090909,0.00909090909090909,0,0.004545454545454545,0,0.00909090909090909,0.013636363636363636,0.00909090909090909,0,0.004545454545454545,0,0.00909090909090909,0,0.013636363636363636,0,0,220000
California,6,9,0.02194040984685594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02194040984685594,0,0.02194040984685594,0,45578
California,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21419
California,6,13,9.532661280713042e-4,0.004766330640356522,0.002859798384213913,0.003813064512285217,0,0.003813064512285217,9.532661280713042e-4,0,9.532661280713042e-4,0.002859798384213913,9.532661280713042e-4,0.002859798384213913,9.532661280713042e-4,0.003813064512285217,0.002859798384213913,0.004766330640356522,0.007626129024570434,0.009532661280713044,0.008579395152641738,1049025
California,6,15,0,0,0.03495281370150297,0.03495281370150297,0,0,0,0,0,0.06990562740300595,0,0,0,0,0,0,0,0,0,28610
California,6,17,0,0,0,0,0.01656927614355621,0.01656927614355621,0.01656927614355621,0.01104618409570414,0,0.01656927614355621,0.01104618409570414,0,0.01104618409570414,0.01104618409570414,0.00552309204785207,0.01104618409570414,0.01656927614355621,0.00552309204785207,0,181058
